LocationID,Category,AADT,AADT_Year,Latitude,Longitude
50000084,CC,1277,2019,35.300042,-87.410492
50000085,CC,149,2019,35.02216,-87.603013
50000086,CC,285,2019,35.053355,-87.292923
50000088,CC,650,2019,35.335645,-87.302358
50000089,CC,119,2019,35.339716,-87.255273
50000090,CC,1092,2019,35.269533,-87.289192
50000092,CC,6675,2019,35.24714,-87.332198
50000093,CC,2671,2019,35.253264,-87.333823
50000094,CC,1534,2019,35.241559,-87.337569
50000095,CC,1026,2019,35.234041,-87.338041
50000096,CC,1410,2019,35.037613,-87.516215
50000097,CC,8114,2019,35.220447,-87.229407
50000098,CC,13806,2019,35.16819,-87.346447
50000099,CC,16214,2019,35.283105,-87.31432
50000100,CC,2607,2019,35.256863,-87.302772
50000101,CC,235,2019,35.256068,-87.251519
50000102,CC,990,2019,35.339955,-87.219363
50000103,CC,5724,2019,35.227431,-87.266923
50000104,CC,12807,2019,35.205075,-87.339491
50000106,CC,1126,2019,35.039632,-87.309474
50000108,CC,335,2019,35.122687,-87.554964
50000110,CC,2202,2019,35.218867,-87.33177
50000111,CC,1727,2019,35.224833,-87.337817
50000112,CC,509,2019,35.237534,-87.347306
50000113,CC,2008,2019,35.240027,-87.332607
50000114,CC,700,2019,35.243033,-87.320053
50000115,CC,8003,2019,35.246327,-87.317481
50000116,CC,210,2019,35.246933,-87.322247
50000117,CC,1758,2019,35.247782,-87.334614
50000118,CC,5354,2019,35.247374,-87.340175
50000119,CC,548,2019,35.248931,-87.344679
50000120,CC,506,2019,35.250628,-87.338679
50000121,CC,602,2019,35.252073,-87.318811
50000122,CC,6740,2019,35.256761,-87.316333
50000123,CC,18169,2019,35.257001,-87.326723
50000124,CC,3205,2019,35.261594,-87.330851
50000125,CC,285,2019,35.260693,-87.337967
50000126,CC,2673,2019,35.273174,-87.337626
50000127,CC,6861,2019,35.268064,-87.323446
50000128,CC,3785,2019,35.247336,-87.325767
50000129,CC,39,2019,35.155085,-87.206758
50000130,CC,426,2019,35.438631,-87.219675
50000131,CC,76,2019,35.090127,-87.58588
50000132,CC,212,2019,35.030992,-87.584207
50000133,CC,850,2019,35.229175,-87.328599
50000134,CC,1780,2019,35.239961,-87.335388
50000135,CC,2344,2019,35.245024,-87.326138
50000136,CC,586,2019,35.246044,-87.320055
50000137,CC,958,2019,35.249017,-87.319434
50000138,CC,1306,2019,35.277204,-87.319454
50000139,CC,673,2019,35.2697,-87.333943
50000140,CC,2206,2019,35.264481,-87.336065
50000141,CC,526,2019,35.26011,-87.332294
50000142,CC,3400,2019,35.257293,-87.329824
50000143,CC,1264,2019,35.251859,-87.337726
50000144,CC,655,2019,35.248303,-87.336993
50000145,CC,1705,2019,35.260363,-87.318989
50000146,CC,1637,2019,35.263142,-87.319863
50000147,CC,758,2019,35.245364,-87.332165
50000148,CC,2571,2019,35.247866,-87.329554
50000149,CC,7750,2019,35.252761,-87.316586
50000150,CC,4627,2019,35.308486,-87.498311
50000151,CC,6147,2019,35.279864,-87.405011
50000152,CC,2631,2019,35.247262,-87.37716
50000153,CC,4206,2019,35.206049,-87.353894
50000154,CC,6146,2019,35.206988,-87.310785
50000155,CC,1868,2019,35.259812,-87.32551
51000001,CC,513,2019,35.605888,-87.569873
51000002,CC,1043,2019,35.611265,-87.549748
51000003,CC,304,2019,35.603869,-87.456658
51000004,CC,3870,2019,35.589108,-87.449344
51000006,CC,294,2019,35.555139,-87.382974
51000007,CC,436,2019,35.5729,-87.504266
51000008,CC,5733,2019,35.561757,-87.526034
51000009,CC,1976,2019,35.56243,-87.549858
51000010,CC,2436,2019,35.553586,-87.55993
51000011,CC,6292,2019,35.55001,-87.565414
51000013,CC,131,2019,35.544815,-87.62612
51000014,CC,2651,2019,35.535097,-87.56527
51000015,CC,3520,2019,35.534159,-87.550205
51000016,CC,5148,2019,35.537623,-87.540041
51000018,CC,384,2019,35.528856,-87.34256
51000019,CC,2320,2019,35.49917,-87.453656
51000020,CC,1280,2019,35.520223,-87.614395
51000024,CC,596,2019,35.467402,-87.544168
51000025,CC,181,2019,35.440859,-87.488496
51000026,CC,606,2019,35.439899,-87.473384
51000027,CC,3815,2019,35.564275,-87.373756
51000028,CC,210,2019,35.573077,-87.38645
51000029,CC,879,2019,35.476924,-87.46619
51000030,CC,242,2019,35.569165,-87.588855
