county,geometry
Lawrence,"POLYGON ((-87.57509350456749 35.39908119934806, -87.44963267070685 35.42151275934454, -87.44786561670881 35.45765249489445, -87.29413191887957 35.44519051711862, -87.22698386695416 35.43023614378762, -87.20577921897771 35.43397473712037, -87.23228502894827 35.28816959714319, -87.22344975895808 34.99905171274397, -87.60690047653216 35.0040365038543, -87.57332645056945 35.04889962384728, -87.57509350456749 35.39908119934806))"
Shelby,"POLYGON ((-90.11258304574892 35.4102969793463, -90.07017374979603 35.42400515489971, -90.04543499382351 35.41528177045663, -90.04013383182939 35.39658880379289, -89.86519548602371 35.39160401268256, -89.70262651820428 35.40905078156872, -89.63194435828279 35.37664963935157, -89.64431373626905 34.99406692163364, -89.72383116618073 34.99406692163364, -89.75917224614147 34.99406692163364, -89.79451332610222 34.99406692163364, -90.30872603953105 34.99531311941122, -90.29989076954087 35.02896045940596, -90.26454968958012 35.0401762394042, -90.19740163765471 35.05139201940245, -90.18149815167237 35.0912703482851, -90.16029350369593 35.12865628161259, -90.08961134377444 35.11868669939192, -90.10021366776266 35.16479601716249, -90.09314545177051 35.20342814826756, -90.09844661376462 35.2507836638157, -90.16736171968807 35.27446142158978, -90.12141831573911 35.30437016825176, -90.0878442897764 35.36294146379816, -90.11258304574892 35.4102969793463))"
Gibson,"POLYGON ((-89.15307272481472 36.20412496366657, -88.96046383902866 36.2016325681114, -88.95869678503063 36.22281793033031, -88.86504292313465 36.13683028367709, -88.69363868532504 36.06205841702212, -88.70777511730934 35.79163349928665, -88.91452043507969 35.79786448817456, -89.10889637486379 35.86142057483129, -89.13540218483435 35.96734738592583, -89.18841380477546 35.99974852814298, -89.20608434475584 36.01096430814123, -89.16190799480491 36.02591868147222, -89.15307272481472 36.20412496366657))"
Obion,"POLYGON ((-89.34391455660274 36.50072003473127, -89.21138550674995 36.5057048258416, -88.96399794702474 36.50196623250886, -88.83500300516802 36.50196623250886, -88.82793478917587 36.50196623250886, -88.81733246518765 36.41099379474531, -88.9480944610424 36.40974759696773, -88.95869678503063 36.22281793033031, -88.96046383902866 36.2016325681114, -89.15307272481472 36.20412496366657, -89.48174476844963 36.21284834810965, -89.44463663449085 36.23527990810614, -89.35981804258508 36.40850139919014, -89.34391455660274 36.50072003473127))"
Carter,"POLYGON ((-82.30043732042641 36.39603942141432, -82.18911291855007 36.39977801474706, -81.98413465477775 36.50819722139677, -81.95056062881504 36.47205748584687, -82.05835092269531 36.36737687252991, -81.93465714283271 36.26394245699053, -81.96116295280326 36.22780272144064, -82.02831100472868 36.12436830590126, -82.07955557067176 36.10567533923752, -82.0813226246698 36.10567533923752, -82.12726602861876 36.10442914145994, -82.14140246060306 36.13558408589951, -82.21208462052455 36.158015645896, -82.22091989051474 36.15303085478567, -82.28453383444408 36.25148047921471, -82.34107956238127 36.2527266769923, -82.30043732042641 36.37111546586266, -82.30043732042641 36.39603942141432))"
Cheatham,"POLYGON ((-87.12096062707192 36.45585691473829, -87.06264784513669 36.42096337696597, -86.98843157721913 36.36862307030749, -86.91244825530353 36.3823312458609, -86.90538003931138 36.36613067475233, -86.96369282124661 36.2664348525457, -87.04144319716025 36.04087305480321, -87.05381257514651 36.04461164813596, -87.08561954711118 36.04336545035838, -87.18280751700323 36.04959643924629, -87.14923349104052 36.17670861255974, -87.19340984099145 36.24898808365954, -87.15276759903659 36.30506698365077, -87.28706370288742 36.32126755475934, -87.27999548689527 36.3536686969765, -87.12096062707192 36.45585691473829))"
Cocke,"POLYGON ((-83.23344183139005 36.08448997701861, -83.24581120937631 36.12436830590126, -83.17512904945482 36.12686070145643, -83.18573137344305 36.17421621700458, -83.1645267254666 36.18044720589249, -83.17159494145875 36.15676944811842, -83.1026798355353 36.12062971256852, -82.89416746376691 35.93370004593109, -82.91183800374728 35.92622285926559, -82.90123567975905 35.87388255260711, -82.93834381371784 35.82777323483655, -82.96661667768643 35.79661829039698, -82.97898605567269 35.78291011484357, -83.04966821559418 35.7878949059539, -83.09561161954315 35.77667912595565, -83.16099261747053 35.76421714817982, -83.19810075142931 35.72558501707476, -83.2546464793665 35.71686163263168, -83.2546464793665 35.71561543485409, -83.26171469535865 35.82652703705897, -83.30942515330565 35.89506791482602, -83.29528872132136 35.9037912992691, -83.27585112734295 36.00722571480848, -83.25818058736257 35.99974852814298, -83.23344183139005 36.08448997701861))"
Unicoi,"POLYGON ((-82.60613766208684 36.03713446147047, -82.59553533809861 36.09570575701686, -82.5283872861732 36.14804606367534, -82.42059699229294 36.16300043700633, -82.34107956238127 36.2527266769923, -82.28453383444408 36.25148047921471, -82.22091989051474 36.15303085478567, -82.2668632944637 36.12686070145643, -82.29867026642837 36.13309169034434, -82.34814777837342 36.1143987236806, -82.40999466830472 36.08324377924103, -82.41706288429687 36.07202799924278, -82.46477334224387 36.00597951703089, -82.50894969219479 35.98105556147924, -82.55842720413983 35.95363921037242, -82.61143882408095 35.97357837481374, -82.59553533809861 36.02591868147222, -82.60613766208684 36.03713446147047))"
Washington,"POLYGON ((-82.68212098400244 36.43217915696422, -82.60260355409076 36.42345577252114, -82.42236404629098 36.44713353029521, -82.30043732042641 36.39603942141432, -82.30043732042641 36.37111546586266, -82.34107956238127 36.2527266769923, -82.42059699229294 36.16300043700633, -82.5283872861732 36.14804606367534, -82.59553533809861 36.09570575701686, -82.64854695803973 36.14555366812017, -82.6326434720574 36.41847098141081, -82.70332563197888 36.40974759696773, -82.68212098400244 36.43217915696422))"
Williamson,"POLYGON ((-87.20401216497967 35.95862400148275, -87.18987573299538 35.97482457259132, -87.18280751700323 36.04959643924629, -87.08561954711118 36.04336545035838, -87.05381257514651 36.04461164813596, -87.03967614316221 35.98853274814473, -86.92835174128587 36.05208883480146, -86.79052152943896 36.03588826369288, -86.61911729162935 35.96734738592583, -86.6120490756372 35.79038730150906, -86.68626534355477 35.71063064374376, -86.75164634148214 35.69692246819035, -86.78168625944878 35.70689205041101, -86.93541995727801 35.76172475262466, -87.00433506320147 35.77917152151082, -87.03614203516614 35.79661829039698, -87.2146144889679 35.85020479483304, -87.2004780569836 35.939931034819, -87.20401216497967 35.95862400148275))"
Sullivan,"POLYGON ((-82.60967177008291 36.59543106582757, -82.48774504421834 36.59543106582757, -82.2951361584323 36.59543106582757, -82.24389159248922 36.59543106582757, -82.17497648656577 36.59418486804999, -82.14670362259717 36.59418486804999, -81.93465714283271 36.59418486804999, -81.92228776484644 36.61661642804648, -81.82686684895243 36.61412403249131, -81.87104319890337 36.60166205471548, -81.98413465477775 36.50819722139677, -82.18911291855007 36.39977801474706, -82.30043732042641 36.39603942141432, -82.42236404629098 36.44713353029521, -82.60260355409076 36.42345577252114, -82.68212098400244 36.43217915696422, -82.70332563197888 36.45585691473829, -82.61143882408095 36.51941300139502, -82.60967177008291 36.59543106582757))"
Houston,"POLYGON ((-87.98151592411604 36.3536686969765, -87.82248106429269 36.32874474142484, -87.71645782441047 36.36862307030749, -87.59276404454786 36.36737687252991, -87.58746288255375 36.34120671920067, -87.51324661463619 36.33497573031276, -87.52384893862441 36.24898808365954, -87.5662582345773 36.17795481033733, -87.58569582855571 36.19789397477865, -87.7995093623182 36.24400329254922, -87.94970895215137 36.24275709477163, -87.94440779015726 36.26394245699053, -87.98151592411604 36.3536686969765))"
Perry,"POLYGON ((-87.97091360012782 35.8165574548383, -87.96384538413567 35.84023521261238, -87.85252098225932 35.80409547706248, -87.71645782441047 35.83774281705721, -87.74473068837905 35.6645213259732, -87.65814504247524 35.60968862375955, -87.65107682648309 35.5698102948769, -87.71822487840851 35.48382264822369, -87.98858414010819 35.4539139015617, -88.0080217340866 35.42400515489971, -88.04336281404734 35.44519051711862, -87.97444770812389 35.52120858155117, -88.03629459805519 35.62215060153538, -88.03452754405716 35.71810783040926, -87.97091360012782 35.8165574548383))"
Moore,"POLYGON ((-86.52546342973338 35.35546427713266, -86.42120724384918 35.31932454158276, -86.25687122203172 35.41278937490146, -86.2798429240062 35.38786541934981, -86.26040533002779 35.33427891491375, -86.24450184404546 35.32430933269309, -86.30458167997872 35.23084449937438, -86.31695105796499 35.127410083835, -86.36289446191395 35.12367149050225, -86.39116732588255 35.23582929048471, -86.52723048373142 35.31184735491726, -86.52546342973338 35.35546427713266))"
Marion,"POLYGON ((-85.87342050445766 35.22336731270888, -85.74089145460486 35.21589012604338, -85.71085153663823 35.28941579492077, -85.55888489280703 35.31932454158276, -85.40338414097975 35.22336731270888, -85.38748065499742 35.14734924827633, -85.36627600702097 35.07257738162136, -85.47406630090124 34.98409733941298, -85.60659535075403 34.98409733941298, -85.86458523446747 34.98658973496814, -85.86458523446747 35.21090533493305, -85.87342050445766 35.22336731270888))"
Davidson,"POLYGON ((-86.91244825530353 36.3823312458609, -86.82409555540167 36.34993010364375, -86.75518044947822 36.40476280585739, -86.63855488560776 36.25521907254746, -86.59437853565683 36.2452494903268, -86.55550334770001 36.13433788812193, -86.51486110574515 36.10069054812719, -86.54666807770982 36.08698237257378, -86.61911729162935 35.96734738592583, -86.79052152943896 36.03588826369288, -86.92835174128587 36.05208883480146, -87.03967614316221 35.98853274814473, -87.05381257514651 36.04461164813596, -87.04144319716025 36.04087305480321, -86.96369282124661 36.2664348525457, -86.90538003931138 36.36613067475233, -86.91244825530353 36.3823312458609))"
